GPU 0: NVIDIA A100 80GB PCIe (UUID: GPU-614301ad-da52-aeb4-f2e9-e6725ab87783)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.4571', 'grad_norm': '40.62', 'learning_rate': '1.915e-05', 'epoch': '0.3415'}
{'loss': '0.427', 'grad_norm': '62.53', 'learning_rate': '1.913e-05', 'epoch': '0.3476'}
{'loss': '0.4896', 'grad_norm': '73.64', 'learning_rate': '1.912e-05', 'epoch': '0.3537'}
{'loss': '0.4388', 'grad_norm': '137.1', 'learning_rate': '1.91e-05', 'epoch': '0.3598'}
{'loss': '0.4491', 'grad_norm': '46.06', 'learning_rate': '1.909e-05', 'epoch': '0.3659'}
{'loss': '0.4687', 'grad_norm': '38.89', 'learning_rate': '1.907e-05', 'epoch': '0.372'}
{'loss': '0.4722', 'grad_norm': '46.58', 'learning_rate': '1.906e-05', 'epoch': '0.378'}
{'loss': '0.4588', 'grad_norm': '52.92', 'learning_rate': '1.904e-05', 'epoch': '0.3841'}
{'loss': '0.4387', 'grad_norm': '69.96', 'learning_rate': '1.903e-05', 'epoch': '0.3902'}
{'loss': '0.4951', 'grad_norm': '167.5', 'learning_rate': '1.901e-05', 'epoch': '0.3963'}
{'loss': '0.4609', 'grad_norm': '47.03', 'learning_rate': '1.9e-05', 'epoch': '0.4024'}
{'loss': '0.4552', 'grad_norm': '29.85', 'learning_rate': '1.898e-05', 'epoch': '0.4085'}
{'loss': '0.4404', 'grad_norm': '66.35', 'learning_rate': '1.896e-05', 'epoch': '0.4146'}
{'loss': '0.4376', 'grad_norm': '42.14', 'learning_rate': '1.895e-05', 'epoch': '0.4207'}
{'loss': '0.4224', 'grad_norm': '49.91', 'learning_rate': '1.893e-05', 'epoch': '0.4268'}
{'loss': '0.4422', 'grad_norm': '53.43', 'learning_rate': '1.892e-05', 'epoch': '0.4329'}
{'loss': '0.4345', 'grad_norm': '239.7', 'learning_rate': '1.89e-05', 'epoch': '0.439'}
{'loss': '0.425', 'grad_norm': '57.36', 'learning_rate': '1.889e-05', 'epoch': '0.4451'}
{'loss': '0.4544', 'grad_norm': '600', 'learning_rate': '1.887e-05', 'epoch': '0.4512'}
{'loss': '0.3982', 'grad_norm': '53.53', 'learning_rate': '1.886e-05', 'epoch': '0.4573'}
{'loss': '0.388', 'grad_norm': '111.7', 'learning_rate': '1.884e-05', 'epoch': '0.4634'}
{'loss': '0.4223', 'grad_norm': '41.72', 'learning_rate': '1.883e-05', 'epoch': '0.4695'}
{'loss': '0.4223', 'grad_norm': '49.2', 'learning_rate': '1.881e-05', 'epoch': '0.4756'}
{'loss': '0.41', 'grad_norm': '74.02', 'learning_rate': '1.88e-05', 'epoch': '0.4817'}
{'loss': '0.3894', 'grad_norm': '39.59', 'learning_rate': '1.878e-05', 'epoch': '0.4878'}
{'loss': '0.4145', 'grad_norm': '83.66', 'learning_rate': '1.877e-05', 'epoch': '0.4939'}
{'loss': '0.3656', 'grad_norm': '81.57', 'learning_rate': '1.875e-05', 'epoch': '0.5'}
{'loss': '0.3978', 'grad_norm': '44.33', 'learning_rate': '1.874e-05', 'epoch': '0.5061'}
{'loss': '0.4179', 'grad_norm': '27.39', 'learning_rate': '1.872e-05', 'epoch': '0.5122'}
{'loss': '0.3792', 'grad_norm': '54.43', 'learning_rate': '1.871e-05', 'epoch': '0.5183'}
{'loss': '0.3936', 'grad_norm': '48.21', 'learning_rate': '1.869e-05', 'epoch': '0.5244'}
{'loss': '0.4049', 'grad_norm': '51.34', 'learning_rate': '1.868e-05', 'epoch': '0.5305'}
{'loss': '0.4029', 'grad_norm': '115.1', 'learning_rate': '1.866e-05', 'epoch': '0.5366'}
{'loss': '0.3768', 'grad_norm': '54.45', 'learning_rate': '1.864e-05', 'epoch': '0.5427'}
{'loss': '0.4161', 'grad_norm': '51.82', 'learning_rate': '1.863e-05', 'epoch': '0.5488'}
{'loss': '0.3745', 'grad_norm': '113.4', 'learning_rate': '1.861e-05', 'epoch': '0.5549'}
{'loss': '0.3725', 'grad_norm': '122.1', 'learning_rate': '1.86e-05', 'epoch': '0.561'}
{'loss': '0.4116', 'grad_norm': '29.24', 'learning_rate': '1.858e-05', 'epoch': '0.5671'}
{'loss': '0.3822', 'grad_norm': '54.4', 'learning_rate': '1.857e-05', 'epoch': '0.5732'}
{'loss': '0.3946', 'grad_norm': '61.92', 'learning_rate': '1.855e-05', 'epoch': '0.5793'}
{'loss': '0.4135', 'grad_norm': '86.32', 'learning_rate': '1.854e-05', 'epoch': '0.5854'}
{'loss': '0.3478', 'grad_norm': '80.99', 'learning_rate': '1.852e-05', 'epoch': '0.5915'}
{'loss': '0.326', 'grad_norm': '72.24', 'learning_rate': '1.851e-05', 'epoch': '0.5976'}
{'loss': '0.3371', 'grad_norm': '128.2', 'learning_rate': '1.849e-05', 'epoch': '0.6037'}
{'loss': '0.3565', 'grad_norm': '51.87', 'learning_rate': '1.848e-05', 'epoch': '0.6098'}
{'loss': '0.4107', 'grad_norm': '35.61', 'learning_rate': '1.846e-05', 'epoch': '0.6159'}
{'loss': '0.329', 'grad_norm': '45.19', 'learning_rate': '1.845e-05', 'epoch': '0.622'}
{'loss': '0.3708', 'grad_norm': '96.98', 'learning_rate': '1.843e-05', 'epoch': '0.628'}
{'loss': '0.3484', 'grad_norm': '120.1', 'learning_rate': '1.842e-05', 'epoch': '0.6341'}
{'loss': '0.3564', 'grad_norm': '84.04', 'learning_rate': '1.84e-05', 'epoch': '0.6402'}
{'loss': '0.399', 'grad_norm': '41.67', 'learning_rate': '1.839e-05', 'epoch': '0.6463'}
{'loss': '0.3122', 'grad_norm': '114.4', 'learning_rate': '1.837e-05', 'epoch': '0.6524'}
{'loss': '0.309', 'grad_norm': '26.81', 'learning_rate': '1.836e-05', 'epoch': '0.6585'}
{'loss': '0.4013', 'grad_norm': '88.47', 'learning_rate': '1.834e-05', 'epoch': '0.6646'}
{'loss': '0.3886', 'grad_norm': '51.57', 'learning_rate': '1.832e-05', 'epoch': '0.6707'}
{'loss': '0.3491', 'grad_norm': '159.9', 'learning_rate': '1.831e-05', 'epoch': '0.6768'}
{'loss': '0.3362', 'grad_norm': '37.42', 'learning_rate': '1.829e-05', 'epoch': '0.6829'}
{'loss': '0.3375', 'grad_norm': '59.44', 'learning_rate': '1.828e-05', 'epoch': '0.689'}
{'loss': '0.3491', 'grad_norm': '50.95', 'learning_rate': '1.826e-05', 'epoch': '0.6951'}
{'loss': '0.3465', 'grad_norm': '34.43', 'learning_rate': '1.825e-05', 'epoch': '0.7012'}
{'loss': '0.3551', 'grad_norm': '46.94', 'learning_rate': '1.823e-05', 'epoch': '0.7073'}
{'loss': '0.3346', 'grad_norm': '17.46', 'learning_rate': '1.822e-05', 'epoch': '0.7134'}
{'loss': '0.3206', 'grad_norm': '151.1', 'learning_rate': '1.82e-05', 'epoch': '0.7195'}
{'loss': '0.3798', 'grad_norm': '72.15', 'learning_rate': '1.819e-05', 'epoch': '0.7256'}
{'loss': '0.3177', 'grad_norm': '86.77', 'learning_rate': '1.817e-05', 'epoch': '0.7317'}
{'loss': '0.327', 'grad_norm': '55.96', 'learning_rate': '1.816e-05', 'epoch': '0.7378'}
{'loss': '0.3633', 'grad_norm': '85.11', 'learning_rate': '1.814e-05', 'epoch': '0.7439'}
{'loss': '0.3217', 'grad_norm': '51.18', 'learning_rate': '1.813e-05', 'epoch': '0.75'}
{'loss': '0.3651', 'grad_norm': '60.75', 'learning_rate': '1.811e-05', 'epoch': '0.7561'}
{'loss': '0.2951', 'grad_norm': '43.19', 'learning_rate': '1.81e-05', 'epoch': '0.7622'}
{'loss': '0.2758', 'grad_norm': '15.97', 'learning_rate': '1.808e-05', 'epoch': '0.7683'}
{'loss': '0.3227', 'grad_norm': '58.23', 'learning_rate': '1.807e-05', 'epoch': '0.7744'}
{'loss': '0.3081', 'grad_norm': '60.52', 'learning_rate': '1.805e-05', 'epoch': '0.7805'}
{'loss': '0.3656', 'grad_norm': '56.1', 'learning_rate': '1.804e-05', 'epoch': '0.7866'}
{'loss': '0.3245', 'grad_norm': '86.8', 'learning_rate': '1.802e-05', 'epoch': '0.7927'}
{'loss': '0.3067', 'grad_norm': '71.87', 'learning_rate': '1.8e-05', 'epoch': '0.7988'}
{'loss': '0.3243', 'grad_norm': '25.89', 'learning_rate': '1.799e-05', 'epoch': '0.8049'}
{'loss': '0.2878', 'grad_norm': '26.72', 'learning_rate': '1.797e-05', 'epoch': '0.811'}
{'loss': '0.2765', 'grad_norm': '72.71', 'learning_rate': '1.796e-05', 'epoch': '0.8171'}
{'loss': '0.3289', 'grad_norm': '34.01', 'learning_rate': '1.794e-05', 'epoch': '0.8232'}
{'loss': '0.2579', 'grad_norm': '42.63', 'learning_rate': '1.793e-05', 'epoch': '0.8293'}
{'loss': '0.3066', 'grad_norm': '22.84', 'learning_rate': '1.791e-05', 'epoch': '0.8354'}
{'loss': '0.3614', 'grad_norm': '47.75', 'learning_rate': '1.79e-05', 'epoch': '0.8415'}
{'loss': '0.3322', 'grad_norm': '34.26', 'learning_rate': '1.788e-05', 'epoch': '0.8476'}
{'loss': '0.2822', 'grad_norm': '25.31', 'learning_rate': '1.787e-05', 'epoch': '0.8537'}
{'loss': '0.2825', 'grad_norm': '206.3', 'learning_rate': '1.785e-05', 'epoch': '0.8598'}
{'loss': '0.3132', 'grad_norm': '32.23', 'learning_rate': '1.784e-05', 'epoch': '0.8659'}
{'loss': '0.2843', 'grad_norm': '59.56', 'learning_rate': '1.782e-05', 'epoch': '0.872'}
{'loss': '0.3268', 'grad_norm': '40.41', 'learning_rate': '1.781e-05', 'epoch': '0.878'}
{'loss': '0.262', 'grad_norm': '69.73', 'learning_rate': '1.779e-05', 'epoch': '0.8841'}
{'loss': '0.2946', 'grad_norm': '44.4', 'learning_rate': '1.778e-05', 'epoch': '0.8902'}
{'loss': '0.3235', 'grad_norm': '17.22', 'learning_rate': '1.776e-05', 'epoch': '0.8963'}
{'loss': '0.2911', 'grad_norm': '48.72', 'learning_rate': '1.775e-05', 'epoch': '0.9024'}
{'loss': '0.2872', 'grad_norm': '43.91', 'learning_rate': '1.773e-05', 'epoch': '0.9085'}
{'loss': '0.2879', 'grad_norm': '51.51', 'learning_rate': '1.771e-05', 'epoch': '0.9146'}
{'loss': '0.3019', 'grad_norm': '49.04', 'learning_rate': '1.77e-05', 'epoch': '0.9207'}
{'loss': '0.2983', 'grad_norm': '41.5', 'learning_rate': '1.768e-05', 'epoch': '0.9268'}
{'loss': '0.2375', 'grad_norm': '16.75', 'learning_rate': '1.767e-05', 'epoch': '0.9329'}
