GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.5684', 'grad_norm': '50.05', 'learning_rate': '1.993e-05', 'epoch': '0.3406'}
{'loss': '0.5886', 'grad_norm': '34.7', 'learning_rate': '1.993e-05', 'epoch': '0.3467'}
{'loss': '0.5437', 'grad_norm': '60.93', 'learning_rate': '1.993e-05', 'epoch': '0.3528'}
{'loss': '0.507', 'grad_norm': '154.7', 'learning_rate': '1.993e-05', 'epoch': '0.3589'}
{'loss': '0.5489', 'grad_norm': '65.96', 'learning_rate': '1.993e-05', 'epoch': '0.365'}
{'loss': '0.5089', 'grad_norm': '76.31', 'learning_rate': '1.993e-05', 'epoch': '0.371'}
{'loss': '0.4912', 'grad_norm': '62.93', 'learning_rate': '1.992e-05', 'epoch': '0.3771'}
{'loss': '0.5283', 'grad_norm': '86.16', 'learning_rate': '1.992e-05', 'epoch': '0.3832'}
{'loss': '0.5123', 'grad_norm': '89.44', 'learning_rate': '1.992e-05', 'epoch': '0.3893'}
{'loss': '0.5226', 'grad_norm': '67.39', 'learning_rate': '1.992e-05', 'epoch': '0.3954'}
{'loss': '0.5109', 'grad_norm': '67.99', 'learning_rate': '1.992e-05', 'epoch': '0.4015'}
{'loss': '0.5264', 'grad_norm': '87.39', 'learning_rate': '1.992e-05', 'epoch': '0.4075'}
{'loss': '0.5283', 'grad_norm': '71.92', 'learning_rate': '1.992e-05', 'epoch': '0.4136'}
{'loss': '0.5221', 'grad_norm': '44.49', 'learning_rate': '1.992e-05', 'epoch': '0.4197'}
{'loss': '0.4807', 'grad_norm': '57.08', 'learning_rate': '1.991e-05', 'epoch': '0.4258'}
{'loss': '0.5258', 'grad_norm': '48.46', 'learning_rate': '1.991e-05', 'epoch': '0.4319'}
{'loss': '0.4924', 'grad_norm': '80.7', 'learning_rate': '1.991e-05', 'epoch': '0.438'}
{'loss': '0.4912', 'grad_norm': '232.3', 'learning_rate': '1.991e-05', 'epoch': '0.444'}
{'loss': '0.4411', 'grad_norm': '50.34', 'learning_rate': '1.991e-05', 'epoch': '0.4501'}
{'loss': '0.4761', 'grad_norm': '141.6', 'learning_rate': '1.991e-05', 'epoch': '0.4562'}
{'loss': '0.5165', 'grad_norm': '43.48', 'learning_rate': '1.991e-05', 'epoch': '0.4623'}
{'loss': '0.5237', 'grad_norm': '56.42', 'learning_rate': '1.991e-05', 'epoch': '0.4684'}
{'loss': '0.5085', 'grad_norm': '133', 'learning_rate': '1.991e-05', 'epoch': '0.4745'}
{'loss': '0.4945', 'grad_norm': '44.23', 'learning_rate': '1.99e-05', 'epoch': '0.4805'}
{'loss': '0.5178', 'grad_norm': '86.59', 'learning_rate': '1.99e-05', 'epoch': '0.4866'}
{'loss': '0.4636', 'grad_norm': '76.08', 'learning_rate': '1.99e-05', 'epoch': '0.4927'}
{'loss': '0.4701', 'grad_norm': '33.58', 'learning_rate': '1.99e-05', 'epoch': '0.4988'}
{'loss': '0.4754', 'grad_norm': '66.53', 'learning_rate': '1.99e-05', 'epoch': '0.5049'}
{'loss': '0.4788', 'grad_norm': '51.72', 'learning_rate': '1.99e-05', 'epoch': '0.5109'}
{'loss': '0.5088', 'grad_norm': '344.8', 'learning_rate': '1.99e-05', 'epoch': '0.517'}
{'loss': '0.4397', 'grad_norm': '96.85', 'learning_rate': '1.99e-05', 'epoch': '0.5231'}
{'loss': '0.4442', 'grad_norm': '61.09', 'learning_rate': '1.989e-05', 'epoch': '0.5292'}
{'loss': '0.4508', 'grad_norm': '68.13', 'learning_rate': '1.989e-05', 'epoch': '0.5353'}
{'loss': '0.4804', 'grad_norm': '73.43', 'learning_rate': '1.989e-05', 'epoch': '0.5414'}
{'loss': '0.4174', 'grad_norm': '125.2', 'learning_rate': '1.989e-05', 'epoch': '0.5474'}
{'loss': '0.428', 'grad_norm': '63.32', 'learning_rate': '1.989e-05', 'epoch': '0.5535'}
{'loss': '0.4064', 'grad_norm': '47.61', 'learning_rate': '1.989e-05', 'epoch': '0.5596'}
{'loss': '0.4622', 'grad_norm': '282.4', 'learning_rate': '1.989e-05', 'epoch': '0.5657'}
{'loss': '0.4945', 'grad_norm': '94.52', 'learning_rate': '1.989e-05', 'epoch': '0.5718'}
{'loss': '0.4581', 'grad_norm': '50.71', 'learning_rate': '1.988e-05', 'epoch': '0.5779'}
{'loss': '0.4617', 'grad_norm': '82.69', 'learning_rate': '1.988e-05', 'epoch': '0.5839'}
{'loss': '0.454', 'grad_norm': '74.77', 'learning_rate': '1.988e-05', 'epoch': '0.59'}
{'loss': '0.4192', 'grad_norm': '24.48', 'learning_rate': '1.988e-05', 'epoch': '0.5961'}
{'loss': '0.3969', 'grad_norm': '62.44', 'learning_rate': '1.988e-05', 'epoch': '0.6022'}
