GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.06726', 'grad_norm': '6.456', 'learning_rate': '1.993e-05', 'epoch': '0.3415'}
{'loss': '0.1106', 'grad_norm': '4.152', 'learning_rate': '1.993e-05', 'epoch': '0.3476'}
{'loss': '0.05592', 'grad_norm': '0.08015', 'learning_rate': '1.993e-05', 'epoch': '0.3537'}
{'loss': '0.06388', 'grad_norm': '0.134', 'learning_rate': '1.993e-05', 'epoch': '0.3598'}
{'loss': '0.08594', 'grad_norm': '0.09494', 'learning_rate': '1.993e-05', 'epoch': '0.3659'}
{'loss': '0.02274', 'grad_norm': '0.1199', 'learning_rate': '1.993e-05', 'epoch': '0.372'}
{'loss': '0.02083', 'grad_norm': '0.04124', 'learning_rate': '1.992e-05', 'epoch': '0.378'}
{'loss': '0.06329', 'grad_norm': '0.03202', 'learning_rate': '1.992e-05', 'epoch': '0.3841'}
{'loss': '0.07056', 'grad_norm': '0.1306', 'learning_rate': '1.992e-05', 'epoch': '0.3902'}
{'loss': '0.04811', 'grad_norm': '17.77', 'learning_rate': '1.992e-05', 'epoch': '0.3963'}
{'loss': '0.1076', 'grad_norm': '10.86', 'learning_rate': '1.992e-05', 'epoch': '0.4024'}
{'loss': '0.05057', 'grad_norm': '8.177', 'learning_rate': '1.992e-05', 'epoch': '0.4085'}
{'loss': '0.09912', 'grad_norm': '12.33', 'learning_rate': '1.992e-05', 'epoch': '0.4146'}
{'loss': '0.08042', 'grad_norm': '20.89', 'learning_rate': '1.992e-05', 'epoch': '0.4207'}
{'loss': '0.0612', 'grad_norm': '7.647', 'learning_rate': '1.991e-05', 'epoch': '0.4268'}
{'loss': '0.03666', 'grad_norm': '0.5699', 'learning_rate': '1.991e-05', 'epoch': '0.4329'}
{'loss': '0.048', 'grad_norm': '0.1378', 'learning_rate': '1.991e-05', 'epoch': '0.439'}
{'loss': '0.04011', 'grad_norm': '1.012', 'learning_rate': '1.991e-05', 'epoch': '0.4451'}
{'loss': '0.09713', 'grad_norm': '2.291', 'learning_rate': '1.991e-05', 'epoch': '0.4512'}
{'loss': '0.05331', 'grad_norm': '33.92', 'learning_rate': '1.991e-05', 'epoch': '0.4573'}
{'loss': '0.0235', 'grad_norm': '0.07791', 'learning_rate': '1.991e-05', 'epoch': '0.4634'}
{'loss': '0.09299', 'grad_norm': '0.06008', 'learning_rate': '1.991e-05', 'epoch': '0.4695'}
{'loss': '0.09401', 'grad_norm': '0.5146', 'learning_rate': '1.991e-05', 'epoch': '0.4756'}
{'loss': '0.02435', 'grad_norm': '0.4797', 'learning_rate': '1.99e-05', 'epoch': '0.4817'}
{'loss': '0.04437', 'grad_norm': '0.06858', 'learning_rate': '1.99e-05', 'epoch': '0.4878'}
{'loss': '0.05188', 'grad_norm': '27.31', 'learning_rate': '1.99e-05', 'epoch': '0.4939'}
{'loss': '0.03984', 'grad_norm': '7.664', 'learning_rate': '1.99e-05', 'epoch': '0.5'}
{'loss': '0.1181', 'grad_norm': '24.75', 'learning_rate': '1.99e-05', 'epoch': '0.5061'}
{'loss': '0.03203', 'grad_norm': '22.98', 'learning_rate': '1.99e-05', 'epoch': '0.5122'}
{'loss': '0.03606', 'grad_norm': '0.06513', 'learning_rate': '1.99e-05', 'epoch': '0.5183'}
{'loss': '0.1398', 'grad_norm': '24.27', 'learning_rate': '1.99e-05', 'epoch': '0.5244'}
{'loss': '0.03346', 'grad_norm': '0.02356', 'learning_rate': '1.989e-05', 'epoch': '0.5305'}
{'loss': '0.08903', 'grad_norm': '0.0341', 'learning_rate': '1.989e-05', 'epoch': '0.5366'}
{'loss': '0.04501', 'grad_norm': '22.82', 'learning_rate': '1.989e-05', 'epoch': '0.5427'}
{'loss': '0.0766', 'grad_norm': '12', 'learning_rate': '1.989e-05', 'epoch': '0.5488'}
{'loss': '0.0603', 'grad_norm': '0.0791', 'learning_rate': '1.989e-05', 'epoch': '0.5549'}
{'loss': '0.02364', 'grad_norm': '6.007', 'learning_rate': '1.989e-05', 'epoch': '0.561'}
{'loss': '0.02326', 'grad_norm': '0.353', 'learning_rate': '1.989e-05', 'epoch': '0.5671'}
{'loss': '0.09544', 'grad_norm': '0.117', 'learning_rate': '1.989e-05', 'epoch': '0.5732'}
{'loss': '0.06681', 'grad_norm': '9.581', 'learning_rate': '1.988e-05', 'epoch': '0.5793'}
{'loss': '0.01915', 'grad_norm': '0.2652', 'learning_rate': '1.988e-05', 'epoch': '0.5854'}
{'loss': '0.06097', 'grad_norm': '0.1016', 'learning_rate': '1.988e-05', 'epoch': '0.5915'}
{'loss': '0.05475', 'grad_norm': '0.02331', 'learning_rate': '1.988e-05', 'epoch': '0.5976'}
{'loss': '0.1003', 'grad_norm': '0.2016', 'learning_rate': '1.988e-05', 'epoch': '0.6037'}
{'loss': '0.03556', 'grad_norm': '0.2817', 'learning_rate': '1.988e-05', 'epoch': '0.6098'}
{'loss': '0.03917', 'grad_norm': '0.03636', 'learning_rate': '1.988e-05', 'epoch': '0.6159'}
{'loss': '0.02795', 'grad_norm': '0.9569', 'learning_rate': '1.988e-05', 'epoch': '0.622'}
{'loss': '0.029', 'grad_norm': '21.6', 'learning_rate': '1.987e-05', 'epoch': '0.628'}
{'loss': '0.05014', 'grad_norm': '0.04201', 'learning_rate': '1.987e-05', 'epoch': '0.6341'}
{'loss': '0.09195', 'grad_norm': '0.02699', 'learning_rate': '1.987e-05', 'epoch': '0.6402'}
{'loss': '0.04998', 'grad_norm': '20.5', 'learning_rate': '1.987e-05', 'epoch': '0.6463'}
{'loss': '0.06005', 'grad_norm': '28.69', 'learning_rate': '1.987e-05', 'epoch': '0.6524'}
{'loss': '0.0622', 'grad_norm': '3.885', 'learning_rate': '1.987e-05', 'epoch': '0.6585'}
{'loss': '0.06038', 'grad_norm': '0.05311', 'learning_rate': '1.987e-05', 'epoch': '0.6646'}
{'loss': '0.04414', 'grad_norm': '1.245', 'learning_rate': '1.987e-05', 'epoch': '0.6707'}
{'loss': '0.06245', 'grad_norm': '0.08967', 'learning_rate': '1.986e-05', 'epoch': '0.6768'}
{'loss': '0.07836', 'grad_norm': '0.09685', 'learning_rate': '1.986e-05', 'epoch': '0.6829'}
{'loss': '0.03457', 'grad_norm': '0.4304', 'learning_rate': '1.986e-05', 'epoch': '0.689'}
{'loss': '0.04841', 'grad_norm': '0.1135', 'learning_rate': '1.986e-05', 'epoch': '0.6951'}
{'loss': '0.03595', 'grad_norm': '0.07017', 'learning_rate': '1.986e-05', 'epoch': '0.7012'}
{'loss': '0.03968', 'grad_norm': '0.2045', 'learning_rate': '1.986e-05', 'epoch': '0.7073'}
{'loss': '0.01712', 'grad_norm': '0.2629', 'learning_rate': '1.986e-05', 'epoch': '0.7134'}
{'loss': '0.08693', 'grad_norm': '1.072', 'learning_rate': '1.986e-05', 'epoch': '0.7195'}
{'loss': '0.05121', 'grad_norm': '0.5599', 'learning_rate': '1.986e-05', 'epoch': '0.7256'}
{'loss': '0.04286', 'grad_norm': '6.047', 'learning_rate': '1.985e-05', 'epoch': '0.7317'}
{'loss': '0.06176', 'grad_norm': '11.92', 'learning_rate': '1.985e-05', 'epoch': '0.7378'}
{'loss': '0.04747', 'grad_norm': '7.047', 'learning_rate': '1.985e-05', 'epoch': '0.7439'}
