GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.5929', 'grad_norm': '178.4', 'learning_rate': '1.915e-05', 'epoch': '0.3406'}
{'loss': '0.587', 'grad_norm': '67.28', 'learning_rate': '1.913e-05', 'epoch': '0.3467'}
{'loss': '0.5867', 'grad_norm': '44.99', 'learning_rate': '1.912e-05', 'epoch': '0.3528'}
{'loss': '0.5508', 'grad_norm': '87.77', 'learning_rate': '1.91e-05', 'epoch': '0.3589'}
{'loss': '0.5904', 'grad_norm': '59.58', 'learning_rate': '1.909e-05', 'epoch': '0.365'}
{'loss': '0.5312', 'grad_norm': '155', 'learning_rate': '1.907e-05', 'epoch': '0.371'}
{'loss': '0.5545', 'grad_norm': '433.9', 'learning_rate': '1.906e-05', 'epoch': '0.3771'}
{'loss': '0.5508', 'grad_norm': '148.6', 'learning_rate': '1.904e-05', 'epoch': '0.3832'}
{'loss': '0.5523', 'grad_norm': '45.42', 'learning_rate': '1.903e-05', 'epoch': '0.3893'}
{'loss': '0.5379', 'grad_norm': '101.7', 'learning_rate': '1.901e-05', 'epoch': '0.3954'}
{'loss': '0.5434', 'grad_norm': '57.29', 'learning_rate': '1.9e-05', 'epoch': '0.4015'}
{'loss': '0.5542', 'grad_norm': '425.2', 'learning_rate': '1.898e-05', 'epoch': '0.4075'}
{'loss': '0.5634', 'grad_norm': '60.11', 'learning_rate': '1.897e-05', 'epoch': '0.4136'}
{'loss': '0.5476', 'grad_norm': '247.1', 'learning_rate': '1.895e-05', 'epoch': '0.4197'}
{'loss': '0.5267', 'grad_norm': '70.38', 'learning_rate': '1.894e-05', 'epoch': '0.4258'}
{'loss': '0.5578', 'grad_norm': '107.6', 'learning_rate': '1.892e-05', 'epoch': '0.4319'}
{'loss': '0.5079', 'grad_norm': '110.8', 'learning_rate': '1.891e-05', 'epoch': '0.438'}
{'loss': '0.5453', 'grad_norm': '51.51', 'learning_rate': '1.889e-05', 'epoch': '0.444'}
{'loss': '0.5051', 'grad_norm': '55.31', 'learning_rate': '1.888e-05', 'epoch': '0.4501'}
