GPU 0: NVIDIA A100 80GB PCIe (UUID: GPU-29585563-232c-f53f-831f-ba58a4316572)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.05249', 'grad_norm': '1.915', 'learning_rate': '1.993e-05', 'epoch': '0.3406'}
{'loss': '0.03869', 'grad_norm': '0.1228', 'learning_rate': '1.993e-05', 'epoch': '0.3467'}
{'loss': '0.09875', 'grad_norm': '15.29', 'learning_rate': '1.993e-05', 'epoch': '0.3528'}
{'loss': '0.05818', 'grad_norm': '1.015', 'learning_rate': '1.993e-05', 'epoch': '0.3589'}
{'loss': '0.04591', 'grad_norm': '0.0269', 'learning_rate': '1.993e-05', 'epoch': '0.365'}
{'loss': '0.07109', 'grad_norm': '0.8153', 'learning_rate': '1.993e-05', 'epoch': '0.371'}
{'loss': '0.04019', 'grad_norm': '0.3337', 'learning_rate': '1.992e-05', 'epoch': '0.3771'}
{'loss': '0.04348', 'grad_norm': '0.2943', 'learning_rate': '1.992e-05', 'epoch': '0.3832'}
{'loss': '0.03045', 'grad_norm': '0.2481', 'learning_rate': '1.992e-05', 'epoch': '0.3893'}
{'loss': '0.08998', 'grad_norm': '22.7', 'learning_rate': '1.992e-05', 'epoch': '0.3954'}
{'loss': '0.03387', 'grad_norm': '0.04292', 'learning_rate': '1.992e-05', 'epoch': '0.4015'}
{'loss': '0.09958', 'grad_norm': '26.43', 'learning_rate': '1.992e-05', 'epoch': '0.4075'}
{'loss': '0.06029', 'grad_norm': '0.1944', 'learning_rate': '1.992e-05', 'epoch': '0.4136'}
{'loss': '0.06687', 'grad_norm': '2.271', 'learning_rate': '1.992e-05', 'epoch': '0.4197'}
{'loss': '0.05259', 'grad_norm': '8.087', 'learning_rate': '1.991e-05', 'epoch': '0.4258'}
{'loss': '0.01222', 'grad_norm': '0.174', 'learning_rate': '1.991e-05', 'epoch': '0.4319'}
{'loss': '0.06782', 'grad_norm': '23.8', 'learning_rate': '1.991e-05', 'epoch': '0.438'}
{'loss': '0.05384', 'grad_norm': '0.06203', 'learning_rate': '1.991e-05', 'epoch': '0.444'}
{'loss': '0.05631', 'grad_norm': '0.1074', 'learning_rate': '1.991e-05', 'epoch': '0.4501'}
{'loss': '0.04088', 'grad_norm': '7.273', 'learning_rate': '1.991e-05', 'epoch': '0.4562'}
{'loss': '0.03974', 'grad_norm': '0.4052', 'learning_rate': '1.991e-05', 'epoch': '0.4623'}
{'loss': '0.08009', 'grad_norm': '43.99', 'learning_rate': '1.991e-05', 'epoch': '0.4684'}
{'loss': '0.07148', 'grad_norm': '11.46', 'learning_rate': '1.991e-05', 'epoch': '0.4745'}
{'loss': '0.03654', 'grad_norm': '0.1142', 'learning_rate': '1.99e-05', 'epoch': '0.4805'}
{'loss': '0.03422', 'grad_norm': '12.1', 'learning_rate': '1.99e-05', 'epoch': '0.4866'}
{'loss': '0.06201', 'grad_norm': '0.6199', 'learning_rate': '1.99e-05', 'epoch': '0.4927'}
{'loss': '0.05648', 'grad_norm': '2.939', 'learning_rate': '1.99e-05', 'epoch': '0.4988'}
{'loss': '0.00589', 'grad_norm': '6.427', 'learning_rate': '1.99e-05', 'epoch': '0.5049'}
{'loss': '0.08643', 'grad_norm': '21.3', 'learning_rate': '1.99e-05', 'epoch': '0.5109'}
{'loss': '0.1121', 'grad_norm': '49.81', 'learning_rate': '1.99e-05', 'epoch': '0.517'}
{'loss': '0.02569', 'grad_norm': '20', 'learning_rate': '1.99e-05', 'epoch': '0.5231'}
{'loss': '0.06923', 'grad_norm': '0.05815', 'learning_rate': '1.989e-05', 'epoch': '0.5292'}
{'loss': '0.00463', 'grad_norm': '0.383', 'learning_rate': '1.989e-05', 'epoch': '0.5353'}
{'loss': '0.03137', 'grad_norm': '0.02304', 'learning_rate': '1.989e-05', 'epoch': '0.5414'}
{'loss': '0.07147', 'grad_norm': '0.1434', 'learning_rate': '1.989e-05', 'epoch': '0.5474'}
{'loss': '0.07231', 'grad_norm': '29.32', 'learning_rate': '1.989e-05', 'epoch': '0.5535'}
{'loss': '0.04127', 'grad_norm': '0.01822', 'learning_rate': '1.989e-05', 'epoch': '0.5596'}
{'loss': '0.03976', 'grad_norm': '0.02797', 'learning_rate': '1.989e-05', 'epoch': '0.5657'}
{'loss': '0.03277', 'grad_norm': '2.388', 'learning_rate': '1.989e-05', 'epoch': '0.5718'}
{'loss': '0.04059', 'grad_norm': '1.138', 'learning_rate': '1.988e-05', 'epoch': '0.5779'}
{'loss': '0.07787', 'grad_norm': '17.85', 'learning_rate': '1.988e-05', 'epoch': '0.5839'}
{'loss': '0.06141', 'grad_norm': '0.1565', 'learning_rate': '1.988e-05', 'epoch': '0.59'}
{'loss': '0.01071', 'grad_norm': '0.2087', 'learning_rate': '1.988e-05', 'epoch': '0.5961'}
{'loss': '0.01905', 'grad_norm': '2.752', 'learning_rate': '1.988e-05', 'epoch': '0.6022'}
{'loss': '0.0727', 'grad_norm': '0.0165', 'learning_rate': '1.988e-05', 'epoch': '0.6083'}
{'loss': '0.04872', 'grad_norm': '33.94', 'learning_rate': '1.988e-05', 'epoch': '0.6144'}
{'loss': '0.01907', 'grad_norm': '11.47', 'learning_rate': '1.988e-05', 'epoch': '0.6204'}
{'loss': '0.06667', 'grad_norm': '4.539', 'learning_rate': '1.987e-05', 'epoch': '0.6265'}
{'loss': '0.03263', 'grad_norm': '0.1483', 'learning_rate': '1.987e-05', 'epoch': '0.6326'}
{'loss': '0.02896', 'grad_norm': '0.4775', 'learning_rate': '1.987e-05', 'epoch': '0.6387'}
{'loss': '0.03207', 'grad_norm': '0.4001', 'learning_rate': '1.987e-05', 'epoch': '0.6448'}
{'loss': '0.05118', 'grad_norm': '1.456', 'learning_rate': '1.987e-05', 'epoch': '0.6509'}
{'loss': '0.05319', 'grad_norm': '39.82', 'learning_rate': '1.987e-05', 'epoch': '0.6569'}
